en,vi
Total, Tổng cộng
Order, Đơn hàng
Sku, SKU
Continue to shipping, Tiếp tục vận chuyển
Continue shopping, Tiếp tục mua sắm
Continue Shopping, Tiếp tục mua sắm
CONTINUE SHOPPING, TIẾP TỤC MUA SẮM
Shopping cart, Giỏ hàng
Product, Sản phẩm
Price, Giá
Quantity, Số lượng
Remove, Xóa
Qty, Số lượng
Sub total, Tổng phụ
Discount(${coupon}), Giảm giá(${coupon})
Order summary, Tóm tắt đơn hàng
Taxes and shipping calculated at checkout, Thuế và vận chuyển được tính tại trang thanh toán
CHECKOUT, THANH TOÁN
Change, Thay đổi
Payment Method, Phương thức thanh toán
Shipping Method, Phương thức vận chuyển
No payment methods available, Không có phương thức thanh toán nào có sẵn
Place Order, Đặt hàng
My billing address is same as shipping address, Địa chỉ thanh toán của tôi giống với địa chỉ giao hàng
${count} items, ${count} mặt hàng
Discount, Giảm giá
Shipping, Vận chuyển
No tax, Không có thuế
Tax, Thuế
Sorry, there is no available method for your address, Xin lỗi, không có phương thức nào phù hợp với địa chỉ của bạn
Please enter a shipping address in order to see shipping quotes, Vui lòng nhập địa chỉ giao hàng để xem báo giá vận chuyển
Continue to payment, Tiếp tục thanh toán
No payment method available, Không có phương thức thanh toán nào có sẵn
Ship to, Gửi đến
Shipment, Lô hàng
Thank you ${name}!, Cảm ơn ${name}!
Contact information, Thông tin liên hệ
Order #${orderNumber}, Đơn hàng #${orderNumber}
ADD TO CART, THÊM VÀO GIỎ HÀNG
Please select variant options, Vui lòng chọn các tùy chọn biến thể
VIEW CART (${count}), XEM GIỎ HÀNG (${count})
JUST ADDED TO YOUR CART, VỪA ĐƯỢC THÊM VÀO GIỎ HÀNG CỦA BẠN
Promotion code?, Mã khuyến mãi?
Enter coupon code, Nhập mã giảm giá
Apply, Áp dụng
Your cart is empty!, Giỏ hàng của bạn trống rỗng!